Country,plularism,effectiveness,participation,culture,liberties,Category
Ethiopia,0.0,3.57,5.56,5.63,2.35,1 Authoritarian
Egypt,3.58,3.21,3.33,3.75,2.94,1 Authoritarian
Cuba,1.33,4.29,3.89,4.38,2.65,1 Authoritarian
Republic of the Congo,3.17,2.5,3.89,3.75,2.94,1 Authoritarian
Qatar,0.0,4.29,2.22,5.63,3.82,1 Authoritarian
Rwanda,0.83,5.0,2.78,4.38,2.94,1 Authoritarian
Russia,2.17,1.79,5.0,2.5,4.41,1 Authoritarian
Zimbabwe,0.5,2.0,4.44,5.63,3.24,1 Authoritarian
Guinea,3.5,0.43,4.44,4.38,2.94,1 Authoritarian
Belarus,0.92,2.86,3.89,5.63,2.35,1 Authoritarian
China,0.0,5.0,2.78,6.25,1.47,1 Authoritarian
Vietnam,0.0,3.21,3.89,5.63,2.65,1 Authoritarian
Kazakhstan,0.5,2.14,4.44,4.38,3.82,1 Authoritarian
Togo,3.17,0.79,2.78,5.0,3.53,1 Authoritarian
Oman,0.0,3.93,2.78,4.38,4.12,1 Authoritarian
Swaziland,0.92,2.86,2.22,5.63,3.53,1 Authoritarian
Djibouti,0.42,1.79,3.33,5.63,2.65,1 Authoritarian
Bahrain,0.83,3.21,2.78,4.38,2.35,1 Authoritarian
United Arab Emirates,0.0,3.57,2.22,5.0,2.65,1 Authoritarian
Azerbaijan,0.5,2.14,3.33,3.75,3.53,1 Authoritarian
Afghanistan,2.5,1.14,2.78,2.5,3.82,1 Authoritarian
Iran,0.0,3.21,4.44,3.13,1.47,1 Authoritarian
Eritrea,0.0,2.14,1.67,6.88,1.18,1 Authoritarian
Laos,0.83,2.86,1.67,5.0,1.47,1 Authoritarian
Burundi,0.0,0.43,3.89,5.0,2.35,1 Authoritarian
Libya,1.0,0.36,1.67,5.63,2.94,1 Authoritarian
Sudan,0.0,1.79,2.78,5.0,1.18,1 Authoritarian
Yemen,0.0,0.0,4.44,5.0,0.88,1 Authoritarian
Guinea-Bissau,1.67,0.0,2.78,3.13,2.35,1 Authoritarian
Uzbekistan,0.08,1.86,2.22,5.0,0.59,1 Authoritarian
Saudi Arabia,0.0,2.86,2.22,3.13,1.47,1 Authoritarian
Tajikistan,0.08,0.79,1.67,6.25,0.88,1 Authoritarian
Equatorial Guinea,0.0,0.43,2.78,4.38,1.47,1 Authoritarian
Turkmenistan,0.0,0.79,2.22,5.0,0.59,1 Authoritarian
Democratic Republic of the Congo,0.5,0.71,2.22,3.75,0.88,1 Authoritarian
Central African Republic,2.25,0.0,1.11,1.88,2.35,1 Authoritarian
Chad,0.0,0.0,1.11,3.75,2.65,1 Authoritarian
Syria,0.0,0.0,2.78,4.38,0.0,1 Authoritarian
North Korea,0.0,2.5,1.67,1.25,0.0,1 Authoritarian
